Symbol,Company Name,Listing Date,ipo_raised_fund,ipo_price,1d_price_movement_after_listed,7d_price_movement_after_listed,30d_price_movement_after_listed,180d_price_movement_after_listed,365d_price_movement_after_listed,underwriter
PGJO,PT Tourindo Guide Indonesia Tbk,08-Jan-20,12000000,80,10,58,10,-8,-16,SURYA FAJAR SEKURITAS
AMAR,PT Bank Amar Indonesia Tbk,09-Jan-20,209856000,174,69,268,145,140,62,UOB KAY HIAN SEKURITAS (AI)
CSRA,PT Cisadane Sawit Raya Tbk,09-Jan-20,51250000,125,70,180,444,84,212,UOB KAY HIAN SEKURITAS (AI)
INDO,PT Royalindo Investa Wijaya Tbk,13-Jan-20,94800000,110,70,74,30,7,18,BCA SEKURITAS (SQ)
AMOR,PT Ashmore Asset Management Indonesia Tbk,14-Jan-20,211111000,1900,50,44,24,14,66,MANDIRI SEKURITAS (CC)
TRIN,PT Perintis Triniti Properti Tbk,15-Jan-20,129767000,200,70,40,21,34,7,ROYAL INVESTIUM SEKURITAS (LH); MIRAE ASSET SEKURITAS INDONESIA (YP)
DMND,PT Diamond Food Indonesia Tbk,22-Jan-20,91500000,915,50,17,2,5,1,INDO PREMIER SEKURITAS (PD)
PURA,PT Putra Rajawali Kencana Tbk,29-Jan-20,189000000,105,70,87,36,22,16,UOB KAY HIAN SEKURITAS (AI)
PTPW,PT Pratama Widya Tbk,07-Feb-20,114164000,650,50,37,9,158,96,UOB KAY HIAN SEKURITAS (AI)
TAMA,PT Lancartama Sejati Tbk,10-Feb-20,35000000,175,69,137,33,-7,-50,NH KORINDO SEKURITAS INDONESIA (XA)
IKAN,PT Era Mandiri Cemerlang Tbk,12-Feb-20,40000000,120,70,87,30,400,-39,UOB KAY HIAN SEKURITAS (AI)
AYLS,PT Agro Yasa Lestari Tbk,12-Feb-20,25870000,100,70,172,-38,-50,-50,NH KORINDO SEKURITAS INDONESIA (XA)
DADA,PT Diamond Citra Propertindo Tbk,14-Feb-20,218994000,102,70,59,145,-23,-51,SHINHAN SEKURITAS INDONESIA (AH); UOB KAY HIAN SEKURITAS (AI)
ASPI,PT Andalan Sakti Primaindo Tbk,17-Feb-20,34650000,105,70,178,271,55,-37,INVESTINDO NUSANTARA SEKURITAS (IN); NH KORINDO SEKURITAS INDONESIA (XA); PANCA GLOBAL SEKURITAS (PG); KB VALBURY SEKURITAS (CP)
BESS,PT Batulicin Nusantara Maritim Tbk,09-Mar-20,73500000,105,70,90,129,161,119,JASA UTAMA CAPITAL SEKURITAS (YB); ERDIKHA ELIT SEKURITAS (AO); EKUATOR SWARNA SEKURITAS (MK); PACIFIC SEKURITAS INDONESIA (AP); PANIN SEKURITAS TBK. (GR); PROFINDO SEKURITAS INDONESIA (RG)
ESTA,PT Esta Multi Usaha Tbk,09-Mar-20,24000000,120,70,75,-3,-15,-13,JASA UTAMA CAPITAL SEKURITAS (YB); ERDIKHA ELIT SEKURITAS (AO); EKUATOR SWARNA SEKURITAS (MK); PACIFIC SEKURITAS INDONESIA (AP); PANIN SEKURITAS TBK. (GR); PROFINDO SEKURITAS INDONESIA (RG)
CARE,PT Metro Healthcare Indonesia Tbk,13-Mar-20,1030000000,103,35,29,207,224,234,JASA UTAMA CAPITAL SEKURITAS (YB); ERDIKHA ELIT SEKURITAS (AO); EKUATOR SWARNA SEKURITAS (MK); PANIN SEKURITAS TBK. (GR); PROFINDO SEKURITAS INDONESIA (RG); PACIFIC SEKURITAS INDONESIA (AP)
AMAN,PT Makmur Berkah Amanda Tbk,13-Mar-20,64350000,110,35,72,93,135,165,KGI SEKURITAS INDONESIA (HD); PANIN SEKURITAS TBK. (GR); AARTHA SEKURITAS INDONESIA (SH); PROFINDO SEKURITAS INDONESIA (RG); MINNA PADI INVESTAMA SEKURITAS TBK (MU)
SAMF,PT Saraswanti Anugerah Makmur Tbk,31-Mar-20,93000000,120,35,233,218,217,230,SURYA FAJAR SEKURITAS; DANATAMA MAKMUR SEKURITAS (II)
KBAG,PT Karya Bersama Anugerah Tbk,08-Apr-20,215000000,100,35,114,176,-33,-50,DANATAMA MAKMUR SEKURITAS (II); NH KORINDO SEKURITAS INDONESIA (XA); AARTHA SEKURITAS INDONESIA (SH); HENAN PUTIHRAI SEKURITAS (HP); KB VALBURY SEKURITAS (CP); WATERFRONT SEKURITAS INDONESIA (FZ); MIRAE ASSET SEKURITAS INDONESIA (YP); PANIN SEKURITAS TBK. (GR); INDOSURYA BERSINAR SEKURITAS (IP); RELIANCE SEKURITAS INDONESIA TBK. (LS); KGI SEKURITAS INDONESIA (HD); NILAI INTI SEKURITAS (RO); ONIX SEKURITAS (FM); MINNA PADI INVESTAMA SEKURITAS TBK (MU)
SBAT,PT Sejahtera Bintang Abadi Textile Tbk,08-Apr-20,44625000,105,34,50,16,47,-48,SURYA FAJAR SEKURITAS; VICTORIA SEKURITAS INDONESIA (MI)
RONY,PT Aesler Grup Internasional Tbk,09-Apr-20,25000000,100,35,280,106,238,57,INDO CAPITAL SEKURITAS
CBMF,PT Cahaya Bintang Medan Tbk,09-Apr-20,60000000,160,35,26,-28,140,25,INDO CAPITAL SEKURITAS; SEMESTA INDOVEST SEKURITAS (MG); SEMESTA INDOVEST SEKURITAS (MG); INDO CAPITAL SEKURITAS
CSMI,PT Cipta Selera Murni Tbk,09-Apr-20,36076000,196,1,-8,-10,81,770,SUCOR SEKURITAS (AZ)
BHAT,PT Bhakti Multi Artha Tbk,15-Apr-20,206000000,103,35,172,240,374,497,JASA UTAMA CAPITAL SEKURITAS (YB); EKUATOR SWARNA SEKURITAS (MK); ERDIKHA ELIT SEKURITAS (AO); PANIN SEKURITAS TBK. (GR); PROFINDO SEKURITAS INDONESIA (RG)
